0.100	200	11
0.100	200	56
2.500	200	200
0.100	200	776
0.100	200	3080
0.100	201	57
-0.100	201	198
4.800	201	201
0.100	201	777
0.100	201	3081
0.100	202	58
4.700	202	202
0.100	202	778
0.100	202	3082
0.100	203	59
8.000	203	203
0.100	203	248
0.100	203	779
0.100	203	968
0.100	203	3083
0.100	203	3272
0.100	204	15
0.100	204	60
0.100	204	195
5.000	204	204
0.100	204	240
0.100	204	780
0.100	204	960
0.100	204	3084
0.100	204	3264
0.100	205	61
8.000	205	205
0.100	205	241
0.100	205	781
0.100	205	961
0.100	205	3085
0.100	205	3265
0.100	206	62
8.000	206	206
0.100	206	242
0.100	206	782
0.100	206	962
0.100	206	3086
0.100	206	3266
0.100	207	63
12.000	207	207
0.100	207	243
0.100	207	252
0.100	207	783
0.100	207	963
0.100	207	972
0.100	207	3087
0.100	207	3267
0.100	207	3276
0.100	208	19
0.100	208	28
2.500	208	208
0.100	208	784
0.100	208	3088
0.100	209	29
4.700	209	209
0.100	209	785
0.100	209	3089
0.100	210	30
4.800	210	210
-0.100	210	225
0.100	210	786
0.100	210	3090
0.100	211	31
8.000	211	211
0.100	211	220
0.100	211	787
0.100	211	976
0.100	211	3091
0.100	211	3280
0.100	212	23
4.700	212	212
0.100	212	788
0.100	212	3092
7.600	213	213
0.100	213	789
0.100	213	3093
7.800	214	214
-0.100	214	217
-0.100	214	229
0.100	214	790
0.100	214	3094
11.700	215	215
0.100	215	791
0.100	215	980
0.100	215	3095
0.100	215	3284
0.100	216	27
4.800	216	216
-0.100	216	228
0.100	216	792
0.100	216	3096
-0.100	217	214
7.800	217	217
-0.100	217	229
0.100	217	793
0.100	217	3097
7.800	218	218
-0.100	218	230
-0.100	218	233
0.100	218	794
0.100	218	3098
11.800	219	219
-0.100	219	231
0.100	219	795
0.100	219	984
0.100	219	3099
0.100	219	3288
0.100	220	31
0.100	220	211
8.000	220	220
0.100	220	796
0.100	220	976
0.100	220	3100
0.100	220	3280
11.700	221	221
0.100	221	797
0.100	221	977
0.100	221	3101
0.100	221	3281
11.800	222	222
-0.100	222	237
0.100	222	798
0.100	222	978
0.100	222	3102
0.100	222	3282
16.500	223	223
0.100	223	799
0.100	223	979
0.100	223	988
0.100	223	3103
0.100	223	3283
0.100	223	3292
0.100	224	35
0.100	224	44
2.500	224	224
0.100	224	800
0.100	224	3104
0.100	225	45
-0.100	225	210
4.800	225	225
0.100	225	801
0.100	225	3105
0.100	226	46
4.700	226	226
0.100	226	802
0.100	226	3106
0.100	227	47
8.000	227	227
0.100	227	236
0.100	227	803
0.100	227	992
0.100	227	3107
0.100	227	3296
0.100	228	39
-0.100	228	216
4.800	228	228
0.100	228	804
0.100	228	3108
-0.100	229	214
-0.100	229	217
7.800	229	229
0.100	229	805
0.100	229	3109
-0.100	230	218
7.800	230	230
-0.100	230	233
0.100	230	806
0.100	230	3110
-0.100	231	219
11.800	231	231
0.100	231	807
0.100	231	996
0.100	231	3111
0.100	231	3300
0.100	232	43
4.700	232	232
0.100	232	808
0.100	232	3112
-0.100	233	218
-0.100	233	230
7.800	233	233
0.100	233	809
0.100	233	3113
7.600	234	234
0.100	234	810
0.100	234	3114
11.700	235	235
0.100	235	811
0.100	235	1000
0.100	235	3115
0.100	235	3304
0.100	236	47
0.100	236	227
8.000	236	236
0.100	236	812
0.100	236	992
0.100	236	3116
0.100	236	3296
-0.100	237	222
11.800	237	237
0.100	237	813
0.100	237	993
0.100	237	3117
0.100	237	3297
11.700	238	238
0.100	238	814
0.100	238	994
0.100	238	3118
0.100	238	3298
16.500	239	239
0.100	239	815
0.100	239	995
0.100	239	1004
0.100	239	3119
0.100	239	3299
0.100	239	3308
0.100	240	51
0.100	240	60
